City,State,Bank,BankState,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementGross,GrAppv,SBA_Appv,IndustryCode
CEDAR FALLS,IA,WELLS FARGO BANK NATL ASSOC,IA,60,3,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
ASTORIA,NY,INVESTORS BANK,NY,61,2,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
DES MOINES,IA,WEST BANK,IA,60,3,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
ALBUQUERQUE,NM,U.S. BANK NATIONAL ASSOCIATION,NM,24,3,2,0,3,1,1,TRUE,FALSE,20000,20000,10000,23
PEWAUKEE,WI,WAUKESHA STATE BANK,WI,60,2,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,56
DES MOINES,IA,IOWA STATE BANK,IA,84,1,2,1,1,1,1,FALSE,FALSE,20000,20000,10000,23
ANTIOCH,TN,BBCN BANK,CA,84,2,1,0,2,1,1,FALSE,FALSE,20000,20000,17000,81
GUSTON,KY,MEADE COUNTY BANK,KY,84,2,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
SEATTLE,WA,BANK OF AMERICA NATL ASSOC,NC,60,1,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
CROSSVILLE,TN,BBCN BANK,CA,59,7,1,4,7,1,2,FALSE,FALSE,20000,20000,17000,72
CHARLOTTE,NC,BBCN BANK,CA,84,1,2,2,1,1,1,FALSE,FALSE,20000,20000,17000,81
MOBILE,AL,BBCN BANK,CA,44,5,1,3,5,1,1,FALSE,FALSE,20000,20000,17000,62
CHATTANOOGA,TN,BBCN BANK,CA,84,1,2,1,1,1,1,FALSE,FALSE,20000,20000,17000,45
SPENCER,MA,BAY STATE SAVINGS BANK,MA,60,2,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,71
RED WING,MN,WELLS FARGO BANK NATL ASSOC,SD,116,1,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
RICHLAND CENTER,WI,BMO HARRIS BK NATL ASSOC,IL,48,3,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,45
KEOKUK,IA,INDEPENDENCE BANK,RI,111,2,2,10,2,68020,1,FALSE,FALSE,20000,20000,10000,72
CEDAR RAPIDS,IA,U.S. BANK NATIONAL ASSOCIATION,OH,60,9,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
NEW YORK,NY,WELLS FARGO BANK NATL ASSOC,SD,60,30,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,51
BANGOR,ME,BANK OF AMERICA NATL ASSOC,NC,60,20,1,0,0,78760,0,FALSE,TRUE,20000,20000,16000,0
KENNER,LA,JPMORGAN CHASE BANK NATL ASSOC,IL,60,2,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
CINCINNATI,OH,"PNC BANK, NATIONAL ASSOCIATION",DE,24,2,2,0,0,1,1,TRUE,FALSE,20000,20000,10000,44
ARNOLDS PARK,IA,"LIBERTY BANK, FSB",IA,84,3,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
REEDSVILLE,WV,BBCN BANK,CA,4,8,1,2,8,1,2,FALSE,FALSE,20000,20000,17000,23
VIRGINIA BEACH,VA,WELLS FARGO BANK NATL ASSOC,SD,60,3,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,45
ALLEGAN,MI,CHEMICAL BANK,MI,60,4,1,0,4,1,1,FALSE,FALSE,20000,20000,10000,42
SAN FRANCISCO,CA,WELLS FARGO BANK NATL ASSOC,SD,60,6,1,0,0,1,0,TRUE,FALSE,20000,20000,10000,0
SEASIDE,CA,COMMUNITY BK OF CENT. CALIFORN,CA,84,2,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,23
RICHMOND HEIGHTS,OH,U.S. BANK NATIONAL ASSOCIATION,OH,48,1,1,0,1,1,1,TRUE,FALSE,20000,20000,17000,48
FALL RIVER,MA,BANKFIVE,MA,84,2,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
BATON ROUGE,LA,BBCN BANK,CA,22,32,1,2,32,1,1,FALSE,FALSE,20000,20000,17000,62
BERRIEN SPRINGS,MI,WELLS FARGO BANK NATL ASSOC,SD,37,1,1,2,3,1,1,FALSE,FALSE,20000,20000,10000,44
CENTERVILLE,OH,"PNC BANK, NATIONAL ASSOCIATION",OH,63,6,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,23
EXETER,CA,BANK OF THE SIERRA,CA,72,8,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
NEWEBURYPORT,MA,NEWBURYPORT FIVE CENTS SAVINGS,MA,84,2,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,45
SANTA CLARA,CA,BBCN BANK,CA,19,4,1,1,4,1,1,FALSE,FALSE,20000,20000,17000,42
SHAKOPEE,MN,FIDELITY BANK,MN,12,2,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
AURORA,CO,WELLS FARGO BANK NATL ASSOC,CO,48,1,1,0,0,1,0,FALSE,FALSE,20000,20000,16000,0
BRONX,NY,WELLS FARGO BANK NATL ASSOC,SD,60,6,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
HAZELWOOD,MO,U.S. BANK NATIONAL ASSOCIATION,OH,84,1,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
CHICAGO,IL,BBCN BANK,CA,22,3,1,1,3,1,1,FALSE,FALSE,20000,20000,17000,56
SOMERVILLE,OH,"PNC BANK, NATIONAL ASSOCIATION",DE,2,1,2,9,10,1,2,TRUE,FALSE,20000,10000,5000,72
GASTONIA,NC,WELLS FARGO BANK NATL ASSOC,SD,60,23,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
BONNERS FERRY,ID,MOUNTAIN W. BANK A DIVISION OF,ID,96,1,1,0,1,1,2,FALSE,FALSE,20000,20000,17000,62
ALTOONA,PA,FIRST COMMONWEALTH BANK,PA,23,2,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
HARTVILLE,MO,SOUTHERN MISSOURI BK OF MARSHF,MO,60,2,1,0,0,1,0,FALSE,FALSE,20000,20000,15000,0
ELMIRA,NY,MANUFACTURERS & TRADERS TR CO,NY,60,10,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
CORONA,CA,BBCN BANK,CA,49,2,1,0,2,1,1,FALSE,FALSE,20000,20000,17000,71
ABBEVILLE,LA,GULF COAST BANK,LA,184,2,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,81
FARMINGDALE,NY,WELLS FARGO BANK NATL ASSOC,SD,60,5,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,23
STATEN ISLAND,NY,SANTANDER BANK NATL ASSOC,NY,85,3,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
CAMDEN,NY,MANUFACTURERS & TRADERS TR CO,NY,36,1,2,0,0,21038,0,FALSE,TRUE,20000,20000,16000,0
SPRING,TX,AMEGY BK NATL ASSOC,TX,60,2,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,45
OAKDALE,MN,WELLS FARGO BANK NATL ASSOC,MN,54,4,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,56
OVERLAND PARK,KS,METCALF BANK,KS,60,3,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,54
NEWPORT BEACH,CA,WELLS FARGO BANK NATL ASSOC,SD,60,50,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
BRATTLEBORO,VT,CHITTENDEN TR COMPANY A DIVISI,VT,36,4,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
NEW ORLEANS,LA,FIRST BANK AND TRUST,LA,60,8,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
TALLAHASSEE,FL,HANCOCK BANK,FL,60,2,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
LOGAN,UT,AMERICA FIRST FCU,UT,84,8,2,0,8,1,2,TRUE,FALSE,20000,20000,10000,81
SOUTH WINDSOR,CT,FIRST NIAGARA BANK NATL ASSOC,CT,60,2,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,81
W. NEWBURY,MA,BANK OF AMERICA NATL ASSOC,MA,12,6,1,0,0,1,0,TRUE,FALSE,20000,20000,10000,0
WOLCOTT,CT,BANK OF AMERICA NATL ASSOC,RI,60,6,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
KANSAS CITY,KS,COMMUNITY FIRST BANK,KS,35,3,1,0,3,1,1,FALSE,FALSE,20000,20000,10000,32
ONEIDA,TN,1ST NATL BK OF ONEIDA,TN,84,3,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,33
COLUMBUS,GA,SYNOVUS BANK,GA,60,3,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,56
WOODBRIDGE,VA,WELLS FARGO BANK NATL ASSOC,SD,84,6,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
LOS ANGELES,CA,ROYAL BUSINESS BANK,CA,87,3,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
LAS CRUCES,NM,WELLS FARGO BANK NATL ASSOC,NM,84,1,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,23
ROGERS,AR,1ST NATL BK OF FT SMITH,AR,36,2,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,51
NAPOLEON,OH,KEYBANK NATIONAL ASSOCIATION,OH,36,9,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,23
ROCK RIVER,WY,CAPITAL WEST BANK,WY,84,2,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,11
DAYTONA BEACH,FL,WELLS FARGO BANK NATL ASSOC,SD,60,2,1,0,0,59450,0,FALSE,FALSE,20000,20000,10000,0
MEDIA,PA,"PNC BANK, NATIONAL ASSOCIATION",DE,83,5,2,2,7,81612,1,TRUE,FALSE,20000,20000,10000,49
BRYANS RD.,MD,WELLS FARGO BANK NATL ASSOC,SD,60,4,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
POMPANO BEACH,FL,"CITIBANK, N.A.",SD,55,10,1,4,10,1,1,TRUE,FALSE,20000,20000,10000,56
ELON COLLEGE,NC,WELLS FARGO BANK NATL ASSOC,NC,42,1,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
NORTHBROOK,IL,BBCN BANK,CA,84,1,1,2,1,1,1,FALSE,FALSE,20000,20000,17000,42
MILWAUKEE,WI,U.S. BANK NATIONAL ASSOCIATION,WI,60,1,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
ANCHORAGE,AK,WELLS FARGO BANK NATL ASSOC,AK,36,1,2,0,0,1,0,FALSE,FALSE,20000,20000,16000,0
OMAHA,NE,BBCN BANK,CA,57,4,1,2,4,1,1,FALSE,FALSE,20000,20000,17000,44
BILLINGS,MT,STOCKMAN BANK OF MONTANA,MT,84,2,1,0,0,1,1,FALSE,FALSE,20000,20000,17000,33
GREELEY,CO,WELLS FARGO BANK NATL ASSOC,SD,60,6,1,1,7,1,1,FALSE,FALSE,20000,20000,10000,33
OAK LAWN,IL,SUBURBAN BANK & TRUST COMPANY,IL,84,1,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,56
BISMARCK,ND,AMERICAN BANK CENTER,ND,23,20,1,0,0,1,1,FALSE,FALSE,20000,20000,10000,81
LEAWOOD,KS,BANK OF AMERICA NATL ASSOC,NC,76,3,2,0,0,61398,0,FALSE,FALSE,20000,20000,10000,48
PADUCAH,KY,U.S. BANK NATIONAL ASSOCIATION,OH,13,7,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,23
VINEYARD,MA,THE EDGARTOWN NATIONAL BANK,MA,48,12,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
SEVERNA PARK,MD,MANUFACTURERS & TRADERS TR CO,MD,60,1,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
CLARK,NJ,CONNECTONE BANK,NJ,60,1,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
HERNDON,VA,MANUFACTURERS & TRADERS TR CO,MD,60,1,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,54
ROCHESTER,NY,MANUFACTURERS & TRADERS TR CO,NY,36,2,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,23
PITTSBURGH,PA,WELLS FARGO BANK NATL ASSOC,SD,60,1,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
WINDHAM,VT,BERKSHIRE BANK,VT,84,1,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
ROCHELLE,IL,BMO HARRIS BK NATL ASSOC,IL,60,6,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
SHREWSBURY,MA,WELLS FARGO BANK NATL ASSOC,SD,60,3,1,0,0,1,0,TRUE,FALSE,20000,20000,10000,44
HARTFORT,CT,BANK OF AMERICA NATL ASSOC,RI,12,2,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,51
FREELAND,MI,CHEMICAL BANK,MI,48,1,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,23
OSCEOLA,IN,BANK - AMERICA NATL ASSOC,MI,60,1,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
GREEN BAY,WI,WELLS FARGO BANK NATL ASSOC,WI,60,1,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
WARREN,OH,FARMERS NATL BK OF CANFIELD,OH,84,3,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,45
SEATTLE,WA,WELLS FARGO BANK NATL ASSOC,SD,60,4,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,51
SALINAS,CA,"RABOBANK, NATIONAL ASSOCIATION",CA,84,3,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
GREEN RIVER,WY,WELLS FARGO BANK NATL ASSOC,SD,66,3,2,0,0,50564,0,FALSE,TRUE,20000,20000,16000,0
JUPITER,FL,SUNTRUST BANK,GA,60,1,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,42
CLEVELAND,OH,U.S. BANK NATIONAL ASSOCIATION,OH,60,4,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,44
LITTLE FERRY,NJ,BANCO POPULAR NORTH AMERICA,NJ,48,1,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
FRANKLIN,WI,U.S. BANK NATIONAL ASSOCIATION,OH,4,5,1,0,0,1,0,FALSE,FALSE,20000,20000,16000,0
BOZEMAN,MT,FIRST SECURITY BANK,MT,84,1,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,44
ALEXANDRIA,VA,"PNC BANK, NATIONAL ASSOCIATION",DE,15,1,1,5,1,1,1,TRUE,FALSE,20000,20000,10000,54
COLUMBIA,SC,BBCN BANK,CA,84,1,2,2,1,1,1,FALSE,FALSE,20000,20000,17000,51
PINSON (MOUNT PINSON),AL,BBCN BANK,CA,84,1,1,0,1,1,2,FALSE,FALSE,20000,20000,10000,44
CHEEKTOWAGA,NY,BANK OF AMERICA NATL ASSOC,CT,36,12,2,0,0,25650,0,FALSE,TRUE,20000,20000,16000,31
MISSOURI CITY,TX,BBCN BANK,CA,84,15,1,4,15,1,1,FALSE,FALSE,20000,20000,17000,81
ALBUQUERQUE,NM,U.S. BANK NATIONAL ASSOCIATION,NM,36,4,2,4,4,1,1,FALSE,FALSE,20000,20000,10000,62
ALBUQUERQUE,NM,U.S. BANK NATIONAL ASSOCIATION,NM,24,4,2,4,4,1,1,TRUE,FALSE,20000,10000,5000,62
YUBA CITY,CA,MUFG UNION BANK NATL ASSOC,CA,36,1,1,0,0,1,1,FALSE,FALSE,20000,20000,10000,81
LAKEWOOD,NJ,SANTANDER BANK NATL ASSOC,NJ,60,13,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
EL PASO,TX,COMPASS BANK,TX,60,1,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,23
MILFORD,NH,"OCEAN BANK, A DIVISION OF",NH,48,2,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,62
OOLTEWAH,TN,BBCN BANK,CA,84,1,1,3,1,1,1,FALSE,FALSE,20000,20000,17000,54
ANCHORAGE,AK,NORTHRIM BANK,AK,6,10,1,0,0,1,0,FALSE,FALSE,20000,20000,16000,0
RICHMOND,IN,U.S. BANK NATIONAL ASSOCIATION,IN,60,2,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
STOCKTON,MO,LIBERTY BANK,MO,120,1,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,23
SEATTLE,WA,BANK OF AMERICA NATL ASSOC,OR,36,52,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
REEDS SPRING,MO,METROPOLITAN NATIONAL BANK,MO,60,4,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,44
FLOWER MOUND,TX,JPMORGAN CHASE BANK NATL ASSOC,NV,84,7,1,2,7,1,2,TRUE,FALSE,20000,10000,5000,23
NORMAN,OK,REPUBLIC BANK & TRUST,OK,48,3,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,62
LAREDO,TX,WELLS FARGO BANK NATL ASSOC,SD,60,2,1,10,12,1,1,FALSE,FALSE,20000,60000,30000,23
MONTGOMERY,AL,FIRST TUSKEGEE BANK,AL,72,4,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
WARWICK,RI,BANK OF AMERICA NATL ASSOC,NC,12,1,1,0,0,1,0,TRUE,FALSE,20000,20000,10000,0
PITTSBURGH,PA,FIRST NATL BK OF PENNSYLVANIA,PA,78,5,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
CINCINNATI,OH,NORTH SIDE BANK & TRUST CO.,OH,120,2,1,0,0,1,1,FALSE,FALSE,20000,20000,17000,56
HUMMELSTOWN,PA,WELLS FARGO BANK NATL ASSOC,SD,60,8,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
ABBEVILLE,LA,GULF COAST BANK,LA,60,2,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,62
COLUMBUS,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,60,2,2,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
SPRING VALLEY,NY,FIRST NIAGARA BANK NATL ASSOC,NY,73,2,1,0,0,1,0,FALSE,FALSE,20000,20000,16000,0
ATLANTA,GA,BBCN BANK,CA,28,2,1,1,2,1,1,FALSE,FALSE,20000,20000,17000,53
COLUMBUS,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,60,8,2,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
JACKSON,MN,UNITED PRAIRIE BANK,MN,60,1,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,45
BOSTON,MA,BANK OF AMERICA NATL ASSOC,MA,60,1,2,0,0,1,0,FALSE,FALSE,20000,20000,10000,45
AMES,IA,WELLS FARGO BANK NATL ASSOC,IA,84,1,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
MADISON,AL,WELLS FARGO BANK NATL ASSOC,SD,60,4,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
FOREST PARK,GA,"BANK OF COWETA, A DIVISION OF",GA,48,2,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
SAUGERTIES,NY,MANUFACTURERS & TRADERS TR CO,NY,13,2,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,45
BURLINGTON,CO,COLORADO EAST BANK & TRUST,CO,72,6,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
COFFEYVILLE,KS,COMMUNITY STATE BANK,KS,120,4,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
MENASHA,WI,BMO HARRIS BK NATL ASSOC,IL,84,2,2,0,0,64955,0,FALSE,TRUE,20000,20000,16000,0
NACOGDOCHES,TX,TEXAS STATE BANK,TX,60,3,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,71
SWANTON,VT,WELLS FARGO BANK NATL ASSOC,SD,60,3,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
SIMI VALLEY,CA,WELLS FARGO BANK NATL ASSOC,SD,60,5,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,23
DULUTH,GA,BANK OF AMERICA NATL ASSOC,GA,60,10,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
WILLOUGHBY,OH,FIFTH THIRD BANK,OH,48,2,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,81
LAME DEER,MT,WELLS FARGO BANK NATL ASSOC,MT,60,2,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,44
VIENNA,IL,BANTERRA BANK,KY,84,1,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
WILLMAR,MN,HERITAGE BANK NATL ASSOC,MN,81,4,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
BROWNWOOD,TX,MILLS COUNTY STATE BANK,TX,5,3,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
MUNCIE,IN,KEYBANK NATIONAL ASSOCIATION,OH,84,2,2,0,0,1,0,FALSE,FALSE,20000,20000,10000,81
NEW YORK,NY,JPMORGAN CHASE BANK NATL ASSOC,IL,36,5,2,0,0,1,0,FALSE,FALSE,20000,20000,10000,71
NASHVILLE,TN,BANK OF AMERICA NATL ASSOC,TN,84,2,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,23
DUBUQUE,IA,U.S. BANK NATIONAL ASSOCIATION,OH,60,2,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,23
BRONX,NY,JPMORGAN CHASE BANK NATL ASSOC,IL,60,7,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,33
FLUSHING,NY,JPMORGAN CHASE BANK NATL ASSOC,IL,60,4,2,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
BLOOMINGTON,IN,JPMORGAN CHASE BANK NATL ASSOC,IL,84,3,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
FORDLAND,MO,LEGACY BANK & TRUST COMPANY,MO,42,1,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
LOS ANGELES,CA,BBCN BANK,CA,45,4,1,2,4,1,1,FALSE,FALSE,20000,20000,17000,72
YUMA,AZ,GE CAP. SMALL BUS. FINAN CORP,TX,60,2,1,0,0,1,0,FALSE,FALSE,20000,20000,15000,71
EL PASO,TX,JPMORGAN CHASE BANK NATL ASSOC,IL,48,22,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
COLUMBIA,MO,BANK OF AMERICA NATL ASSOC,NC,78,1,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
WESTERVILLE,OH,THE HUNTINGTON NATIONAL BANK,OH,63,3,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
WAITE PARK,MN,WELLS FARGO BANK NATL ASSOC,MN,60,4,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
HOPKINS,MN,WELLS FARGO BANK NATL ASSOC,SD,60,5,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
FORT WORTH,TX,LIBERTY BANK,TX,84,3,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
COLUMBUS,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,16,2,2,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
OKLAHOMA CITY,OK,BANK OF AMERICA NATL ASSOC,NC,60,2,1,0,0,1,0,FALSE,TRUE,20000,20000,16000,31
ENOREE,SC,BBCN BANK,CA,63,2,1,2,2,1,1,FALSE,FALSE,20000,20000,10000,45
NEWCASTE,ME,WELLS FARGO BANK NATL ASSOC,SD,60,4,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
VIRGINIA BEACH,VA,BBCN BANK,CA,65,5,1,1,5,1,1,FALSE,FALSE,20000,20000,17000,42
SAN JACINTO,CA,MUFG UNION BANK NATL ASSOC,CA,84,12,1,0,0,1,1,TRUE,FALSE,20000,20000,10000,72
WHITEFISH,MT,WELLS FARGO BANK NATL ASSOC,SD,84,2,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,44
FORREST CITY,AR,FIRST NATL BK OF EASTERN ARKAN,AR,84,3,2,0,0,1,0,FALSE,TRUE,20000,20000,16000,0
ARLINGTON,TX,COMPASS BANK,AL,84,3,1,0,3,1,1,TRUE,FALSE,20000,20000,10000,44
JACKSONVILLE,FL,WELLS FARGO BANK NATL ASSOC,SD,60,6,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,23
NEW YORK,NY,WELLS FARGO BANK NATL ASSOC,SD,60,3,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,0
BOSTON,MA,BANK OF AMERICA NATL ASSOC,MA,12,2,1,0,0,1,0,FALSE,FALSE,20000,20000,10000,23
