City,State,Bank,BankState,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementGross,GrAppv,SBA_Appv,IndustryCode
HOBBS,NM,BANK OF AMERICA NATL ASSOC,NC,84,25,1,0,25,1,2,FALSE,FALSE,20100,20100,10050,72
LANSDALE,PA,CITIZENS BANK NATL ASSOC,RI,52,1,1,0,1,1,1,TRUE,FALSE,20100,20000,10000,53
NASHUA,NH,CITIZENS BANK NATL ASSOC,RI,84,1,1,0,1,1,1,TRUE,FALSE,20100,20000,10000,51
ESCONDIDO,CA,BANK OF AMERICA NATL ASSOC,NC,13,1,1,0,1,1,1,FALSE,FALSE,20100,17300,8650,33
REVERE,MA,CITIZENS BANK NATL ASSOC,RI,84,1,1,0,1,1,1,TRUE,FALSE,20100,10000,5000,53
LOWER BURRELL,PA,CITIZENS BANK OF PENNSYLVANIA,PA,84,1,1,0,1,1,1,TRUE,FALSE,20100,20000,10000,45
NEWTON,MA,CITIZENS BANK NATL ASSOC,MA,84,1,1,1,2,1,1,TRUE,FALSE,20100,20000,10000,23
BOSTON,MA,CITIZENS BANK NATL ASSOC,MA,84,3,1,2,3,1,1,TRUE,FALSE,20100,20000,10000,71
STUART,VA,SURREY BANK & TRUST,NC,37,1,1,0,1,1,2,FALSE,FALSE,20100,20100,10050,54
BELMONT,NH,CITIZENS BANK NATL ASSOC,RI,84,2,1,0,2,1,1,TRUE,FALSE,20100,20000,10000,56
SOUTH YARMOUTH,MA,CITIZENS BANK NATL ASSOC,RI,84,3,1,0,3,1,1,TRUE,FALSE,20100,20000,10000,44
NIANTIC (EAST LYME (STA.)),CT,CITIZENS BANK NATL ASSOC,RI,30,6,1,1,6,1,2,TRUE,FALSE,20100,20000,10000,32
WEST CHESTER,PA,CITIZENS BANK NATL ASSOC,RI,84,2,1,0,2,1,1,TRUE,FALSE,20100,20000,10000,54
BEDMINSTER,PA,CITIZENS BANK OF PENNSYLVANIA,PA,84,4,1,0,1,1,1,TRUE,FALSE,20100,20000,10000,53
NORWOOD (TOWN OF),MA,CITIZENS BANK NATL ASSOC,MA,84,2,1,0,2,1,1,TRUE,FALSE,20100,20000,10000,61
WARWICK (RR NAME APPONAUG),RI,CITIZENS BANK NATL ASSOC,RI,84,1,1,0,1,1,2,TRUE,FALSE,20100,20000,10000,45
MERIDIAN,ID,MOUNTAIN W. BANK A DIVISION OF,ID,84,1,2,0,1,1,1,TRUE,FALSE,20100,20000,10000,53
IRVINE,CA,WELLS FARGO BANK NATL ASSOC,CA,84,2,1,0,0,1,0,FALSE,TRUE,20100,20100,18090,0
BETTENDORF,IA,U.S. BANK NATIONAL ASSOCIATION,OH,84,6,1,0,6,1,1,TRUE,FALSE,20100,20000,10000,45
CHICAGO,IL,CITIZENS BANK NATL ASSOC,RI,84,2,1,0,2,0,1,TRUE,FALSE,20101,10000,5000,81
CORONA,CA,BANCO POPULAR NORTH AMERICA,NY,25,4,1,0,4,1,1,TRUE,FALSE,20101,10000,5000,56
LAKEWOOD,CA,JPMORGAN CHASE BANK NATL ASSOC,IL,84,2,1,0,2,1,1,TRUE,FALSE,20101,20000,10000,48
RINGOES,NJ,"COMMERCE BANK, A DIVISION OF",PA,72,4,1,0,4,1,1,TRUE,FALSE,20101,50000,25000,81
SAN FRANCISCO,CA,BANK OF AMERICA NATL ASSOC,NC,84,2,1,0,2,1,1,TRUE,FALSE,20101,20000,10000,54
South Portland,ME,KEYBANK NATIONAL ASSOCIATION,OH,72,1,2,3,1,0,1,TRUE,FALSE,20102,10000,5000,51
GLEN CARBON,IL,U.S. BANK NATIONAL ASSOCIATION,OH,84,1,2,2,3,1,1,TRUE,FALSE,20102,20000,10000,44
MINNEAPOLIS,MN,U.S. BANK NATIONAL ASSOCIATION,OH,84,1,2,0,1,0,1,TRUE,FALSE,20103,10000,5000,71
BRONX,NY,JPMORGAN CHASE BANK NATL ASSOC,IL,84,1,2,0,1,0,1,TRUE,FALSE,20103,10000,5000,44
COLUMBUS,OH,"PNC BANK, NATIONAL ASSOCIATION",OH,60,1,1,0,1,1,1,TRUE,FALSE,20104,10000,5000,52
SANTA MONICA,CA,BANK OF AMERICA NATL ASSOC,NC,5,1,1,0,1,1,1,FALSE,FALSE,20104,20000,10000,54
DALHART,TX,WELLS FARGO BANK NATL ASSOC,SD,82,2,1,0,2,1,2,TRUE,FALSE,20104,20000,10000,44
WEST CHESTER,PA,CITIZENS BANK NATL ASSOC,RI,84,1,2,0,1,0,1,FALSE,FALSE,20105,23000,11500,54
WEST JORDAN,UT,ZIONS FIRST NATIONAL BANK,UT,12,4,1,4,4,1,1,TRUE,FALSE,20105,12000,6000,56
DALLAS,TX,BANK OF AMERICA NATL ASSOC,NC,84,1,1,0,1,0,1,TRUE,FALSE,20106,17000,8500,51
CINCINNATI,OH,U.S. BANK NATIONAL ASSOCIATION,OH,48,2,1,0,2,0,1,TRUE,FALSE,20106,20000,10000,61
GREENSBURG,IN,"PNC BANK, NATIONAL ASSOCIATION",IN,60,2,2,0,2,1,2,TRUE,FALSE,20106,20000,10000,45
FORT COLLINS,CO,WELLS FARGO BANK NATL ASSOC,SD,70,1,1,0,1,1,1,TRUE,FALSE,20106,15000,7500,54
CLEVELAND,OH,U.S. BANK NATIONAL ASSOCIATION,OH,84,4,1,0,4,1,1,TRUE,FALSE,20106,20000,10000,31
LAKEVILLE,MN,U.S. BANK NATIONAL ASSOCIATION,OH,52,1,1,0,1,1,1,TRUE,FALSE,20106,10000,5000,23
NEW YORK,NY,BANK OF AMERICA NATL ASSOC,NC,44,1,2,0,1,0,1,TRUE,FALSE,20107,10000,5000,54
VERO BEACH,FL,BANK OF AMERICA NATL ASSOC,NC,84,3,1,0,3,1,1,TRUE,FALSE,20107,10000,5000,62
FALL RIVER,MA,CITIZENS BANK NATL ASSOC,RI,4,3,1,0,3,1,1,TRUE,FALSE,20107,10000,5000,81
GLADSTONE (LINDEN),MO,BMO HARRIS BK NATL ASSOC,IL,84,2,2,10,10,1,1,TRUE,FALSE,20108,20000,10000,72
CARROLLTON,TX,COMPASS BANK,AL,84,5,1,0,5,1,1,TRUE,FALSE,20108,20000,10000,44
MASHPEE,MA,CITIZENS BANK NATL ASSOC,RI,84,2,2,0,2,0,1,TRUE,FALSE,20109,13000,6500,33
SIMI VALLEY (SIMI),CA,BANK OF AMERICA NATL ASSOC,NC,84,2,1,0,2,1,1,TRUE,FALSE,20109,20000,10000,54
VENTURA (CORPORATE NAME SAN BU,CA,BANK OF AMERICA NATL ASSOC,NC,84,1,1,0,1,1,1,TRUE,FALSE,20109,20000,10000,44
AMES,IA,WELLS FARGO BANK NATL ASSOC,SD,60,8,1,0,0,1,0,FALSE,TRUE,20110,20110,18099,54
MONROE,UT,ZIONS FIRST NATIONAL BANK,UT,60,1,1,0,1,0,1,TRUE,FALSE,20111,10000,5000,72
HUNTINGTON BEACH,CA,BANK OF AMERICA NATL ASSOC,NC,23,7,1,2,7,1,1,TRUE,FALSE,20111,50000,25000,72
TOMS RIVER,NJ,BANK OF AMERICA NATL ASSOC,NC,61,1,2,0,1,0,1,FALSE,FALSE,20112,15000,7500,23
SHADY COVE,OR,WELLS FARGO BANK NATL ASSOC,SD,66,5,1,0,5,1,2,TRUE,FALSE,20113,15000,7500,44
MORENO VALLEY,CA,MUFG UNION BANK NATL ASSOC,CA,60,1,2,0,0,16033,1,TRUE,FALSE,20113,10000,5000,56
GRANTON,WI,FORWARD FINANCIAL BANK,WI,24,4,1,1,5,0,2,FALSE,FALSE,20114,20114,10057,48
North East,PA,FIRST NIAGARA BANK NATL ASSOC,NY,60,1,1,1,1,0,1,TRUE,FALSE,20115,10500,5250,23
LOUISVILLE,KY,JPMORGAN CHASE BANK NATL ASSOC,IL,84,3,2,3,6,0,1,TRUE,FALSE,20115,10000,5000,44
PHILADELPHIA,PA,CITIZENS BANK NATL ASSOC,RI,84,1,1,0,1,0,1,FALSE,FALSE,20116,26000,13000,32
LOS ANGELES,CA,BANK OF AMERICA NATL ASSOC,NC,84,12,2,0,0,1,1,TRUE,FALSE,20117,10000,5000,72
MORRISTOWN,IL,U.S. BANK NATIONAL ASSOCIATION,OH,6,6,1,0,6,1,1,TRUE,FALSE,20117,10000,5000,48
LITTLE FALLS,MN,U.S. BANK NATIONAL ASSOCIATION,OH,69,34,1,0,34,0,2,TRUE,FALSE,20118,20000,10000,81
BRISTOL (TOWN OF),RI,CITIZENS BANK NATL ASSOC,RI,84,30,1,0,30,1,1,TRUE,FALSE,20118,5000,2500,72
PURCELL,OK,INTERNATIONAL BANK OF COMMERCE,OK,84,1,1,0,1,1,1,TRUE,FALSE,20118,15000,7500,56
NASHVILLE,TN,BANK OF AMERICA NATL ASSOC,TN,74,2,2,0,0,1,0,FALSE,TRUE,20118,27400,21920,0
SYLVANIA,OH,BANK OF MAUMEE,OH,35,2,2,0,2,0,1,TRUE,FALSE,20120,11500,5750,81
TERRE HAUTE,IN,WELLS FARGO BANK NATL ASSOC,SD,6,5,1,0,5,1,1,TRUE,FALSE,20120,20000,10000,72
SODA SPRINGS,CA,U.S. BANK NATIONAL ASSOCIATION,OH,84,2,1,0,2,1,2,TRUE,FALSE,20120,20000,10000,56
PHILADELPHIA,PA,CITIZENS BANK NATL ASSOC,RI,84,3,1,0,3,0,1,TRUE,FALSE,20121,5000,2500,31
YAKIMA,WA,BANK OF AMERICA NATL ASSOC,NC,27,3,1,0,3,0,1,TRUE,FALSE,20123,10000,5000,56
MILPITAS,CA,WELLS FARGO BANK NATL ASSOC,SD,84,2,2,0,2,0,1,TRUE,FALSE,20123,20000,10000,72
ROCKY MOUNT,MO,"UMB BANK, NATIONAL ASSOCIATION",MO,84,5,1,0,0,1,0,FALSE,TRUE,20123,35000,31500,33
SANDY,UT,MOUNTAIN AMERICA FCU,UT,84,1,2,0,1,1,1,TRUE,FALSE,20123,20000,10000,53
MISSION VIEJO,CA,BANK OF AMERICA NATL ASSOC,NC,84,1,2,0,1,0,1,TRUE,FALSE,20125,10000,5000,54
AUSTIN,TX,WELLS FARGO BANK NATL ASSOC,SD,11,4,1,6,10,1,1,TRUE,FALSE,20126,20000,10000,23
FOREST GROVE,OR,WELLS FARGO BANK NATL ASSOC,SD,10,1,1,0,1,1,2,TRUE,FALSE,20126,20000,10000,48
MILWAUKIE,OR,WELLS FARGO BANK NATL ASSOC,SD,49,1,1,5,6,1,1,TRUE,FALSE,20128,10000,5000,31
JERICHO,NY,WELLS FARGO BANK NATL ASSOC,SD,70,2,1,6,8,1,1,TRUE,FALSE,20129,20000,10000,31
HALLANDALE,FL,BANK OF AMERICA NATL ASSOC,NC,52,1,2,0,1,0,1,TRUE,FALSE,20130,10000,5000,48
NORTH LAS VEGAS,NV,U.S. BANK NATIONAL ASSOCIATION,OH,84,2,1,2,4,0,1,TRUE,FALSE,20130,10000,5000,45
